City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
602,Manbij,SY,36.5281,37.9549,32.61,84,96,11.88,overcast clouds,2022-03-13 22:49:27
603,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,12.66,overcast clouds,2022-03-13 22:49:27
604,Solwezi,ZM,-12.1688,26.3894,59.41,98,100,4.21,overcast clouds,2022-03-13 22:49:27
605,Goleta,TN,36.8181,10.305,57.2,82,40,10.36,scattered clouds,2022-03-13 22:49:28
606,Ucluelet,CA,48.9329,-125.5528,49.08,85,100,1.01,overcast clouds,2022-03-13 22:49:28
607,Shingu,JP,33.7333,135.9833,63.43,85,82,5.82,broken clouds,2022-03-13 22:49:28
608,Lasa,IT,46.6166,10.7002,36.48,89,48,2.68,scattered clouds,2022-03-13 22:49:29
609,Aksu,CN,41.1231,80.2644,53.19,30,100,4.99,overcast clouds,2022-03-13 22:49:29
610,Koygorodok,RU,60.445,50.9968,18.99,97,100,1.1,light snow,2022-03-13 22:49:29
611,Bedesa,ET,8.9,40.7833,64.24,43,8,4.12,clear sky,2022-03-13 22:49:29
612,Lubao,PH,14.9167,120.55,78.87,80,45,3.89,scattered clouds,2022-03-13 22:49:30
613,Chernyshevsk,RU,52.5243,117.0174,9.73,98,100,1.52,overcast clouds,2022-03-13 22:49:30
614,Niesky,DE,51.2924,14.8211,36.72,46,0,5.44,clear sky,2022-03-13 22:49:30
615,Polunochnoye,RU,60.8697,60.4153,5.65,98,100,3.8,overcast clouds,2022-03-13 22:49:30
616,Riyadh,SA,24.6877,46.7219,62.74,34,0,5.32,clear sky,2022-03-13 22:49:31
617,Geraldton,AU,-28.7667,114.6,63.01,88,9,9.22,clear sky,2022-03-13 22:49:31
618,Nevers,FR,46.9167,3.3333,37.4,98,95,4.32,overcast clouds,2022-03-13 22:45:24
619,Blue Springs,US,39.0169,-94.2816,65.98,32,0,18.41,clear sky,2022-03-13 22:49:31
620,Grahamstown,ZA,-33.3042,26.5328,60.42,93,99,12.66,overcast clouds,2022-03-13 22:49:32
621,Katangli,RU,51.7102,143.2326,14.67,94,95,0.69,overcast clouds,2022-03-13 22:49:32
622,Kumla,SE,59.1277,15.1434,31.68,74,28,5.75,scattered clouds,2022-03-13 22:49:32
623,Severodvinsk,RU,64.5635,39.8302,28.51,96,60,5.53,broken clouds,2022-03-13 22:49:32
624,Soligalich,RU,59.0778,42.2864,15.46,98,63,5.37,broken clouds,2022-03-13 22:49:33
625,Saint Anthony,US,45.0205,-93.218,42.42,55,0,13.8,clear sky,2022-03-13 22:45:24
626,Bac Lieu,VN,9.285,105.7244,79.39,87,87,12.66,overcast clouds,2022-03-13 22:49:33
627,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.53,78,100,9.24,overcast clouds,2022-03-13 22:49:33
628,Poltavka,RU,54.3663,71.7632,3.96,92,100,10.38,overcast clouds,2022-03-13 22:49:34
629,Gualeguay,AR,-33.1416,-59.3097,63.37,59,3,3.58,clear sky,2022-03-13 22:49:34
630,Marawi,PH,7.9986,124.2928,71.49,92,84,2.17,broken clouds,2022-03-13 22:49:34
631,Floirac,FR,44.8324,-0.5141,46.22,86,0,11.5,clear sky,2022-03-13 22:49:34
632,Chara,RU,56.9064,118.2631,-3.48,94,100,1.19,overcast clouds,2022-03-13 22:49:35
633,Haikou,CN,20.0458,110.3417,71.73,94,75,4.47,broken clouds,2022-03-13 22:49:35
634,Diego De Almagro,CL,-26.3667,-70.05,70.29,41,0,7.54,clear sky,2022-03-13 22:46:29
635,Karpogory,RU,64.0019,44.4451,22.71,93,100,7.72,overcast clouds,2022-03-13 22:49:35
636,Belmonte,BR,-15.8631,-38.8828,79.14,82,80,8.48,broken clouds,2022-03-13 22:49:35
637,Huarmey,PE,-10.0681,-78.1522,74.75,76,96,7.81,overcast clouds,2022-03-13 22:49:36
638,Villa Union,MX,23.2,-106.2333,70.92,67,2,7.65,clear sky,2022-03-13 22:49:36
639,Champaign,US,40.1334,-88.2001,57.27,38,0,13.8,clear sky,2022-03-13 22:49:36
640,Birao,CF,10.2849,22.7882,76.87,16,83,6.38,broken clouds,2022-03-13 22:49:37
641,Abalak,RU,58.1286,68.5944,3.69,96,100,6.11,overcast clouds,2022-03-13 22:49:37
642,Sarkand,KZ,45.41,79.9186,39.69,86,100,3.76,overcast clouds,2022-03-13 22:49:37
643,Sistranda,NO,63.7256,8.834,44.56,78,100,13.62,overcast clouds,2022-03-13 22:49:37
